id;Year;Title;WorldwideBox_office;DomesticBox_office;InternationalBox_office;production_cost;Runtime;release_date;Genre_1;Genre_2;Genre_3;original_language;popularity;Production_Companies;vote_average;vote_count;Cast;Director;IMDB_Rating;Metascore
257091;2015;Get Hard;111800000;904114530;;40000000;100;3;Comedy;;;en;2546;Gary Sanchez Productions;60;2602;Will Ferrell, Kevin Hart, Alison Brie;Etan Cohen;600;340
257211;2015;The Intern;194564672;757646720;;35000000;121;9;Comedy;;;en;48469;Warner Bros. Pictures;7204;6430;Robert De Niro, Anne Hathaway, Rene Russo;Nancy Meyers;710;510
257344;2015;Pixels;244900000;787475850;;88000000;105;7;Action;Comedy;Science Fiction;en;62991;Columbia Pictures;5726;7278;Adam Sandler, Kevin James, Michelle Monaghan;Chris Columbus;560;270
257445;2015;Goosebumps;158200000;800803790;;58000000;103;8;Adventure;Horror;Comedy;en;46902;Original Film;63;3619;Jack Black, Dylan Minnette, Odeya Rush;Rob Letterman;630;600
258489;2016;The Legend of Tarzan;356743061;1266430610;;180000000;109;6;Fantasy;Action;Adventure;en;36268;Village Roadshow Pictures;5901;6066;Alexander Skarsgård, Rory J Saper, Christian Stevens;David Yates;620;440
258509;2015;Alvin and the Chipmunks: The Road Chip;233755553;858869870;;90000000;92;12;Family;Adventure;Comedy;en;53495;TSG Entertainment;60;1565;Jason Lee, Justin Long, Matthew Gray Gubler;Walt Becker;490;330
259693;2016;The Conjuring 2;321800000;1025161400;;40000000;134;6;Horror;;;en;79287;New Line Cinema;7292;8067;Vera Farmiga, Patrick Wilson, Madison Wolfe;James Wan;730;650
259694;2016;How to Be Single;112343513;468435130;;38000000;110;2;Comedy;Romance;;en;3671;New Line Cinema;62;3114;Dakota Johnson, Rebel Wilson, Leslie Mann;Christian Ditter;610;510
259943;2014;Coming Home;47587984;3776070;;0;111;5;Drama;Romance;;zh;9667;LeVision Pictures;73;181;Gong Li, Daoming Chen, Huiwen Zhang;Yimou Zhang;720;810
260346;2014;Taken 3;325800000;892564240;;48000000;109;12;Thriller;Action;;en;85844;EuropaCorp;62;5529;Liam Neeson, Forest Whitaker, Maggie Grace;Olivier Megaton;600;260
261023;2015;Black Mass;99975678;625756780;;53000000;123;9;Drama;Crime;History;en;25327;Vendian Entertainment;6507;3226;Johnny Depp, Benedict Cumberbatch, Dakota Johnson;Scott Cooper;690;680
262500;2015;Insurgent;297002527;1301790720;;110000000;119;3;Action;Adventure;Science Fiction;en;66365;Summit Entertainment;64;9726;Shailene Woodley, Ansel Elgort, Theo James;Robert Schwentke;620;420
262504;2016;Allegiant;179246868;661840510;;110000000;120;3;Adventure;Science Fiction;Action;en;56681;Mandeville Films;61;6397;Shailene Woodley, Theo James, Jeff Daniels;Robert Schwentke;570;330
264644;2015;Room;35401758;146776540;;13000000;118;10;Drama;Thriller;;en;31334;Téléfilm Canada;8025;8900;Brie Larson, Jacob Tremblay, Sean Bridgers;Lenny Abrahamson;810;860
264656;2014;The Homesman;3442853;24299890;;16000000;122;5;Western;Drama;;en;18507;The Javelina Film Company;65;757;Tommy Lee Jones, Hilary Swank, Grace Gummer;Tommy Lee Jones;660;680
264999;2015;Magic Mike XXL;117800000;660130570;;14800000;115;7;Comedy;Drama;Music;en;21517;Warner Bros. Pictures;62;1729;Channing Tatum, Joe Manganiello, Matt Bomer;Gregory Jacobs;560;600
266396;2015;The Gunman;13644292;106647490;;40000000;115;2;Action;Drama;Crime;en;1426;StudioCanal;57;916;Sean Penn, Idris Elba, Jasmine Trinca;Pierre Morel;580;390
266647;2015;Pan;128388320;350883200;;150000000;111;9;Fantasy;Adventure;Family;en;283;Moving Picture Company;60;2648;Levi Miller, Hugh Jackman, Garrett Hedlund;Joe Wright;570;360
266856;2014;The Theory of Everything;123726688;358935370;;15000000;123;11;Drama;Romance;;en;22016;Working Title Films;7855;10307;Eddie Redmayne, Felicity Jones, Tom Prior;James Marsh;770;710
267860;2016;London Has Fallen;205754447;625242600;;60000000;99;3;Action;Thriller;Thriller;en;39632;Millennium Media;6189;4530;Gerard Butler, Aaron Eckhart, Morgan Freeman;Babak Najafi;590;280
267935;2016;The BFG;195243411;554837700;;140000000;117;6;Adventure;Family;Fantasy;en;50118;Walt Disney Pictures;63;3233;Mark Rylance, Ruby Barnhill, Penelope Wilton;Steven Spielberg;630;660
268238;2015;The Second Best Exotic Marigold Hotel;86000000;330782660;;10000000;122;2;Drama;Comedy;;en;13464;Fox Searchlight Pictures;64;687;Judi Dench, Maggie Smith, Bill Nighy;John Madden;650;510
268920;2015;Hot Pursuit;51680201;345802010;;35000000;87;5;Comedy;Action;Crime;en;20657;New Line Cinema;57;1548;Reese Witherspoon, Sofía Vergara, Matthew Del Negro;Anne Fletcher;510;310
270487;2016;Hail, Caesar!;63647656;304980850;;22000000;106;2;Comedy;Crime;Mystery;en;23549;Universal Pictures;5915;3643;Josh Brolin, George Clooney, Alden Ehrenreich;Ethan Coen, Joel Coen;630;720
270938;2014;Falcon Rising;11774;117740;;4500000;103;9;Adventure;Action;;en;24049;Strohberry Films;63;324;Michael Jai White, Neal McDonough, Jimmy Navarro;Ernie Barbarash;580;490
270946;2014;Penguins of Madagascar;373552094;838509110;;132000000;92;11;Family;Animation;Adventure;en;81517;DreamWorks Animation;6527;3977;Tom McGrath, Chris Miller, Christopher Knights;Eric Darnell, Simon J. Smith;660;530
271331;2014;United Passions;168832;6070;;30000000;110;6;Drama;;;en;4085;Thelma Films;34;46;Gérard Depardieu, Sam Neill, Tim Roth;Frédéric Auburtin;210;10
271718;2015;Trainwreck;140795793;1102127000;;35000000;125;7;Comedy;Romance;;en;31253;Apatow Productions;58;2501;Amy Schumer, Bill Hader, Brie Larson;Judd Apatow;620;750
271969;2016;Ben-Hur;94061311;264104770;;100000000;125;8;Action;History;Adventure;en;24277;Metro-Goldwyn-Mayer;57;1610;Jack Huston, Toby Kebbell, Rodrigo Santoro;Timur Bekmambetov;570;380
272693;2015;The DUFF;43528634;340303430;;8500000;100;2;Romance;Comedy;;en;23487;Wonderland Sound and Vision;68;4278;Mae Whitman, Bella Thorne, Robbie Amell;Ari Sandel;640;560
272878;2015;Max;44000000;426562550;;20000000;111;6;Adventure;Drama;Family;en;38292;Reel Chefs Catering;713;781;Thomas Haden Church, Josh Wiggins, Luke Kleintank;Boaz Yakin;660;470
273248;2015;The Hateful Eight;155760117;541174160;;44000000;188;12;Drama;Mystery;Western;en;50219;The Weinstein Company;7751;13728;Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh;Quentin Tarantino;780;680
273481;2015;Sicario;84872444;468892930;;30000000;122;9;Action;Crime;Thriller;en;73853;Thunder Road;7395;8210;Emily Blunt, Josh Brolin, Benicio Del Toro;Denis Villeneuve;770;820
273895;2014;Selma;66787908;520769080;;20000000;127;12;History;Drama;;en;11639;Pathé;74;2123;David Oyelowo, Carmen Ejogo, Oprah Winfrey;Ava DuVernay;750;790
273899;2015;Stonewall;187674;1876740;;13500000;129;9;Drama;History;;en;11827;Centropolis Entertainment;61;130;Jeremy Irvine, Jonny Beauchamp, Joey King;Roland Emmerich;530;300
274167;2015;Daddy's Home;242786137;1503571370;;50000000;96;12;Comedy;;;en;30233;Paramount;63;3072;Will Ferrell, Mark Wahlberg, Linda Cardellini;Sean Anders;620;420
274479;2015;Joy;101134059;564512320;;60000000;124;12;Drama;Comedy;;en;38696;Fox 2000 Pictures;6529;3972;Jennifer Lawrence, Robert De Niro, Bradley Cooper;David O. Russell;660;560
276907;2015;Legend;42972994;18729940;;25000000;132;9;Crime;Thriller;;en;43358;Working Title Films;70;3676;Tom Hardy, Emily Browning, Taron Egerton;Brian Helgeland;690;550
277216;2015;Straight Outta Compton;201600000;1611977850;;28000000;147;8;Drama;Music;History;en;38783;Broken Chair Flickz;7786;3732;O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell;F. Gary Gray;780;720
278927;2016;The Jungle Book;966550600;3640011230;;175000000;106;4;Family;Adventure;Drama;en;55096;Walt Disney Pictures;6862;7834;Neel Sethi, Bill Murray, Ben Kingsley;Jon Favreau;740;770
280092;2015;Insidious: Chapter 3;112983889;522185580;;10000000;97;5;Horror;Thriller;Mystery;en;40338;Blumhouse Productions;6281;3231;Dermot Mulroney, Stefanie Scott, Angus Sampson;Leigh Whannell;610;520
281957;2015;The Revenant;532950503;1836378940;;135000000;157;12;Western;Drama;Adventure;en;50201;Monarchy Enterprises S.a.r.l.;753;17606;Leonardo DiCaprio, Tom Hardy, Will Poulter;Alejandro G. Iñárritu;800;760
283445;2015;Sinister 2;53329150;277409550;;10000000;97;8;Horror;;;en;21971;Tank Caterpillar;59;2042;James Ransone, Shannyn Sossamon, Robert Daniel Sloan;Ciarán Foy;530;320
284293;2014;Still Alice;44779195;187543710;;5000000;100;12;Drama;;;en;22079;Shriver Films;75;2962;Julianne Moore, Alec Baldwin, Kristen Stewart;Richard Glatzer, Wash Westmoreland;750;720
284296;2014;Top Five;25434291;253174710;;0;102;12;Drama;Comedy;;en;13443;Paramount;61;441;Chris Rock, Rosario Dawson, Gabrielle Union;Chris Rock;640;810
284536;2014;The Gambler;39171130;336809920;;25000000;111;12;Thriller;Crime;Drama;en;20717;Paramount;59;1308;Mark Wahlberg, Jessica Lange, John Goodman;Rupert Wyatt;600;550
285783;2015;The Walk;61181942;101375020;;35000000;123;9;History;Drama;Adventure;en;30398;TriStar Pictures;6984;3068;Joseph Gordon-Levitt, Charlotte Le Bon, Guillaume Baillargeon;Robert Zemeckis;730;700
285923;2007;Grindhouse;25422088;250378970;;67000000;191;4;Thriller;Action;Horror;en;29593;Yer Dead Productions;698;1605;Kurt Russell, Rose McGowan, Danny Trejo;Robert Rodriguez, Eli Roth, Quentin Tarantino;750;770
286217;2015;The Martian;631058917;2284336630;;108000000;141;9;Drama;Adventure;Science Fiction;en;71206;Scott Free Productions;7684;19123;Matt Damon, Jessica Chastain, Kristen Wiig;Ridley Scott;800;800
286565;2015;Paper Towns;85500000;320003040;;12000000;109;6;Mystery;Drama;Romance;en;53536;Fox 2000 Pictures;6139;4961;Nat Wolff, Cara Delevingne, Austin Abrams;Jake Schreier;620;560
287424;2015;Maggie;187112;1871120;;4000000;95;5;Horror;Drama;;en;2448;Sly Predator;54;1527;Arnold Schwarzenegger, Abigail Breslin, Joely Richardson;Henry Hobson;560;520
287903;2015;Krampus;61800000;427254750;;15000000;98;11;Horror;Comedy;Fantasy;en;32343;Universal Pictures;62;2073;Adam Scott, Toni Collette, David Koechner;Michael Dougherty;620;490
287948;2015;The Transporter Refueled;72629670;160296700;;25000000;95;9;Action;Thriller;Crime;en;47249;EuropaCorp;55;1412;Ed Skrein, Loan Chabanol, Ray Stevenson;Camille Delamarre;520;320
290595;2016;The Huntsman: Winter's War;164989338;483901900;;115000000;114;4;Action;Adventure;Drama;en;37009;Roth Films;63;4675;Chris Hemsworth, Jessica Chastain, Charlize Theron;Cedric Nicolas-Troyan;610;350
290751;2015;Secret in Their Eyes;34854990;201801550;;19500000;111;10;Thriller;Mystery;Drama;en;21705;Ingenious Media;64;1292;Chiwetel Ejiofor, Nicole Kidman, Julia Roberts;Billy Ray;630;450
290864;2014;Kung Fu Jungle;129115;1297840;;25000000;100;10;Action;Thriller;Crime;zh;24733;Heart & Soul Production;68;415;Donnie Yen, Baoqiang Wang, Charlie Yeung;Teddy Chan;640;660
291270;2015;Anomalisa;5700000;37592860;;8000000;90;12;Animation;Drama;Romance;en;15528;Starburns Industries;71;1635;David Thewlis, Jennifer Jason Leigh, Tom Noonan;Duke Johnson, Charlie Kaufman;720;880
