Title;Director;Cast;Genre;IMDB_Rating;Metascore;Runtime;Votes;Year
Paterson;Jim Jarmusch;Adam Driver, Golshifteh Farahani, Barry Shabaka Henley, Cliff Smith;Comedy;73;900;118;800990;2016
Manchester by the Sea;Kenneth Lonergan;Casey Affleck, Michelle Williams, Kyle Chandler, Lucas Hedges;Drama;78;960;137;2740460;2016
Sideways;Alexander Payne;Paul Giamatti, Thomas Haden Church, Virginia Madsen, Sandra Oh;Comedy;75;940;127;1893510;2004
Sound of Metal;Darius Marder;Riz Ahmed, Olivia Cooke, Paul Raci, Mathieu Amalric;Drama;77;820;120;1192420;2019
Night Comes On;Jordana Spiro;Dominique Fishback, Tatum Marilyn Hall, James McDaniel, John Earl Jelks;;;;;;2018
One Child Nation;Nanfu Wang;;;;;;;2019
The Band's Visit;Eran Kolirin;Sasson Gabai, Ronit Elkabetz, Saleh Bakri, Khalifa Natour;;;;;;2007
Blow the Man Down;Bridget Savage Cole;Sophie Lowe, Morgan Saylor, June Squibb, Marceline Hugot;Comedy;64;720;91;102310;2019
Blackfish;Gabriela Cowperthwaite;Tilikum, John Hargrove, Samantha Berg, Mark Simmons;;;;;;2013
The Big Sick;Michael Showalter;Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano;Comedy;75;860;120;1329240;2017
Ash Is Purest White;Jia Zhangke;Zhao Tao, Liao Fan, Feng Xiaogang, Diao Yi-nan;;;;;;2018
Uncorked;Prentice Penny;Mamoudou Athie, Courtney B. Vance, Niecy Nash, Sasha Compère;;;;;;2020
Stand by Me;Rob Reiner;Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell;Drama;81;750;89;3933520;1986
The Willoughbys;Kris Pearn;Will Forte, Maya Rudolph, Alessia Cara, Terry Crews;Comedy;63;680;90;183060;2020
I Am Mother;Grant Sputore;Hilary Swank, Clara Rugaard, Rose Byrne, Tahlia Sturzaker;Drama;67;640;113;888720;2019
Full Metal Jacket;Stanley Kubrick;Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey;Drama;83;760;116;7242290;1987
Happy as Lazzaro;Alice Rohrwacher;Adriano Tardiolo, Tommaso Ragno, Nicoletta Braschi, Alba Rohrwacher;;;;;;2018
Taylor Swift: Miss Americana;Lana Wilson;Taylor Swift;;;;;;2020
El Camino: A Breaking Bad Movie;Vince Gilligan;Aaron Paul, Matt Jones, Charles Baker;Drama;73;720;122;2242660;2019
High Flying Bird;Steven Soderbergh;Andre Holland, Zazie Beetz, Bill Duke, Sonja Sohn;;;;;;2019
The White Tiger;Ramin Bahrani;Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Vedant Sinha;Drama;71;760;125;588840;2021
There Will Be Blood;Paul Thomas Anderson;Daniel Day-Lewis, Paul Dano, Kevin J. O'Connor, Ciarán Hinds;Drama;82;930;158;5697770;2007
The Disaster Artist;James Franco;James Franco, Dave Franco, Seth Rogen, Zac Efron;Comedy;73;760;104;1508520;2017
Phantom Thread;Paul Thomas Anderson;Daniel Day-Lewis, Vicky Krieps, Lesley Manville, Camilla Rutherford;Drama;74;900;130;1288120;2017
Mindhorn;Sean Foley;Julian Barratt, Essie Davis, Andrea Riseborough, Harriet Walter;Thriller;63;700;89;126170;2016
Into the Inferno;Werner Herzog;Werner Herzog, Clive Oppenheimer, Katia Krafft, Maurice Krafft;;;;;;2016
Icarus;Bryan Fogel;Dan Cogan, Bryan Fogel, Richard Pound, Dave Zabriskie;;;;;;2017
Set It Up;Claire Scanlon;Zoey Deutch, Glen Powell, Lucy Liu, Taye Diggs;Comedy;65;620;105;507240;2018
We Steal Secrets: The Story of WikiLeaks;Alex Gibney;Julian Assange, Chelsea Manning, Robert Manne, Michael Hayden;;;;;;2013
We the Animals;Jeremiah Zagar;Raul Castillo, Sheila Vand, Evan Rosado, Isaiah Kristian;;;;;;2018
Beasts of No Nation;Cary Joji Fukunaga;Idris Elba, Abraham Attah, Opeyemi Fagbohungbe, Kurt Egyiawan;Drama;77;790;137;802280;2015
Silver Linings Playbook;David O. Russell;Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver;Comedy;77;810;122;6986060;2012
Da 5 Bloods;Spike Lee;Delroy Lindo, Jonathan Majors, Clarke Peters, Norm Lewis;Drama;65;820;154;503280;2020
Uncut Gems;Benny Safdie;Adam Sandler, LaKeith Stanfield, Julia Fox, Kevin Garnett;Drama;74;910;135;2664920;2019
Dunkirk;Christopher Nolan;Fionn Whitehead, Tom Glynn-Carney, Jack Lowden, Harry Styles;Drama;78;940;106;6323640;2017
Hush;Mike Flanagan;John Gallagher Jr., Kate Siegel, Michael Trucco, Samantha Sloyan;Horror;66;670;82;1266850;2016
Sand Storm;Elite Zexer;Lamis Ammar, Ruba Blal, Hitham Omari, Khadija Al Akel;;;;;;2016
Final Account;Luke Holland;Luke Holland;;;;;;2020
Fyre;Chris Smith;;;;;;;2019
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese;Martin Scorsese;Bob Dylan, Joan Baez, Patti Smith, Roger McGuinn;;;;;;2019
Cam;Daniel Goldhaber;Madeline Brewer, Patch Darragh, Melora Walters, Devin Druid;Drama;59;710;94;311290;2018
Private Life;Tamara Jenkins;Paul Giamatti, Kathryn Hahn, Kayli Carter, Molly Shannon;Comedy;72;830;123;193970;2018
Saving Private Ryan;Steven Spielberg;Tom Hanks, Edward Burns, Tom Sizemore, Jeremy Davies;Drama;86;910;169;13465440;1998
An Inconvenient Truth;Davis Guggenheim;Al Gore, Billy West;;;;;;2006
The Meyerowitz Stories (New and Selected);Noah Baumbach;Adam Sandler, Ben Stiller, Dustin Hoffman, Emma Thompson;;;;;;2017
Midnight in Paris;Woody Allen;Owen Wilson, Rachel McAdams, Marion Cotillard, Michael Sheen;Comedy;77;810;94;4163430;2011
Hugo;Martin Scorsese;Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz;Drama;75;830;126;3194960;2011
Looper;Rian Johnson;Bruce Willis, Joseph Gordon-Levitt, Emily Blunt, Paul Dano;Drama;74;840;119;5670120;2012
Sorry to Bother You;Boots Riley;Lakeith Stanfield, Tessa Thompson, Jermaine Fowler, Omari Hardwick;Comedy;69;800;112;759610;2018
The Power of the Dog;Jane Campion;Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons, Kodi Smit-McPhee;;;;;;2021
Midnight Run;Martin Brest;Robert De Niro, Charles Grodin, Yaphet Kotto, John Ashton;Comedy;75;780;126;848830;1988
Sword of Trust;Lynn Shelton;Marc Maron, Jon Bass, Michaela Watkins, Jillian Bell;Comedy;63;700;88;36650;2019
The Lost Daughter;Maggie Gyllenhaal;Olivia Colman, Dakota Johnson, Peter Sarsgaard, Jessie Buckley;Drama;67;860;121;568170;2021
Her;Spike Jonze;Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara;Drama;80;910;126;5926510;2013
Marriage Story;Noah Baumbach;Scarlett Johansson, Adam Driver, Azhy Robertson, Laura Dern;Drama;79;940;137;2944640;2019
Croupier;Mike Hodges;Clive Owen, Kate Hardie, Alex Kingston, Gina McKee;;;;;;1998
Klaus;Sergio Pablos;Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso;Comedy;81;650;96;1419050;2019
Good Hair;Jeff Stilson;Chris Rock, Maya Angelou, Nia Long, Ice-T;;;;;;2009
Rita Moreno: Just a Girl Who Decided to Go For It;Mariem Pérez Riera;Rita Moreno, Lin-Manuel Miranda, Norman Lear, George Chakiris;;;;;;2021
Nightcrawler;Dan Gilroy;Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed;Drama;78;760;117;5241050;2014
The Irishman;Martin Scorsese;Robert De Niro, Al Pacino, Joe Pesci, Anna Paquin;Drama;78;940;209;3720250;2019
Outside In;Lynn Shelton;Jay Duplass, Edie Falco, Kaitlyn Dever, Ben Schwartz;;;;;;2017
I Am Divine;Jeffrey Schwarz;Michael Musto, Mark Payne, Greg Gorman, Mink Stole;;;;;;2012
To All the Boys I've Loved Before;Susan Johnson;Lana Condor, John Corbett, Noah Centineo, Emilija Baranac;Comedy;71;640;99;1031810;2018
I Lost My Body;Jérémy Clapin;Hakim Faris, Victoire Du Bois, Patrick D'Assumçao;;;;;;2019
American Factory;Steven Bognar;Sherrod Brown;;;;;;2019
Taxi Driver;Martin Scorsese;Robert De Niro, Jodie Foster, Cybill Shepherd, Harvey Keitel;Drama;83;940;114;7968110;1976
Menashe;Joshua Z Weinstein;Menashe Lustig, Ruben Niborski, Yoel Weisshaus, Meyer Schwartz;;;;;;2017
Atlantics;Mati Diop;Abdou Balde, Aminata Kane, Ibrahima Mbaye, Amadou Mbow;;;;;;2019
The Social Network;David Fincher;Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer;Drama;78;950;120;6830500;2010
Argo;Ben Affleck;Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman;Drama;77;860;120;6058290;2012
Roma;Alfonso Cuarón;Yalitza Aparicio, Marina de Tavira, Marco Graf, Fernando Grediaga;Drama;77;960;135;1547110;2018
Rocks;Sarah Gavron;Bukky Bakray, Ruby Stokes, Sarah Niles, Layo-Christina Akinlude;;;;;;2019
13TH;Ava DuVernay;Michelle Alexander, Bryan Stevenson, Van Jones, Newt Gingrich;;;;;;2016
Aquarius;Kleber Mendonça Filho;Sonia Braga, Maeve Jinkings, Humberto Carrão, Carla Ribas;Drama;70;;42;122040;2016
Mudbound;Dee Rees;Carey Mulligan, Jason Clarke, Jason Mitchell, Mary J. Blige;Drama;74;850;134;483660;2017
Hunt for the Wilderpeople;Taika Waititi;Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House;Comedy;78;810;101;1271730;2016
Dolemite Is My Name;Craig Brewer;Eddie Murphy, Wesley Snipes, Kodi Smit-McPhee, Keegan-Michael Key;Comedy;72;760;118;599600;2019
Ma Rainey's Black Bottom;George C. Wolfe;Viola Davis, Chadwick Boseman, Glynn Turman, Colman Domingo;Drama;69;870;94;504760;2020
Homecoming: A Film by Beyoncé;Unknown Director;Beyoncé;;;;;;2019
Circus of Books;Rachel Mason;Karen Mason, Rachel Mason, Larry Flynt, Jeff Stryker;;;;;;2019
Whose Streets?;Sabaah Folayan;;;;;;;2017
The Forty-Year-Old Version;Radha Blank;Welker White, Reed Birney, Radha Blank, Peter Y. Kim;;;;;;2020
Shirkers;Sandi Tan;;;;;;;2018
Knock Down the House;Rachel Lears;Alexandria Ocasio-Cortez;;;;;;2019
Strong Island;Yance Ford;Yance Ford, Harvey Walker, Kevin Myers, Lauren Ford;;;;;;2017
Athlete A;Bonni Cohen;Maggie Nichols, Jerry Moran, Jen Sey;;;;;;2020
The Square;Jehane Noujaim;Ahmed Hassan, Khalid Abdalla, Magdy Ashour, Ramy Essam;Comedy;72;730;151;622740;2013
Dick Johnson Is Dead;Kirsten Johnson;Kirsten Johnson, Dick Johnson;;;;;;2020
Crip Camp;Jim LeBrecht;Dennis Billups, HolLynn D'Lil, Judith Heumann, Denise Sherer Jacobson;;;;;;2020
Slumber Party Massacre;Amy Jones;Michele Michaels, Robin Stille, Michael Villela;Horror;50;;86;18840;1982
Switchblade Romance;Alexandre Aja;Cécile de France, Maïwenn Le Besco, Philippe Nahon, Franck Khalfoun;;;;;;2003
Maniac;William Lustig;Joe Spinell, Caroline Munro, Gail Lawrence, Kelly Piper;Comedy;77;;386;761320;1980
Pieces;Juan Piquer Simon;Christopher George, Lynda Day George, Edmund Purdom, Paul L. Smith;Horror;60;680;85;105630;1982
The Prowler;Joseph Zito;Vicky Dawson, Christopher Goutman, Farley Granger, Lawrence Tierney;Horror;59;450;89;112150;1981
Torso;Sergio Martino;Suzy Kendall, Tina Aumont, Luc Merenda;Horror;65;;92;66240;1974
The Burning;Tony Maylam;Brian Matthews, Leah Ayres, Brian Backer, Lou David;Horror;63;420;91;185790;1981
Happy Death Day;Christopher Landon;Jessica Rothe, Israel Broussard, Ruby Modine, Rachel Matthews;Comedy;66;580;96;1359340;2017
Child's Play;Tom Holland;Catherine Hicks, Chris Sarandon, Alex Vincent, Brad Dourif;Drama;57;480;90;508090;1988
Sleepaway Camp;Robert Hiltzik;Felissa Rose, Jonathan Tierston, Karen Fields, Christopher Collet;Horror;62;580;84;318080;1983
Friday the 13th;Sean S. Cunningham;Betsy Palmer, Adrienne King, Harry Crosby, Laurie Bartram;Horror;64;220;95;1357490;1980
Stranger in the House;Bob Clark;Olivia Hussey, Margot Kidder, Keir Dullea, Andrea Martin;;;;;;1974
Dressed to Kill;Brian De Palma;Michael Caine, Angie Dickinson, Nancy Allen, Keith Gordon;Drama;71;740;104;408380;1980
Terror at the Opera;Dario Argento;Cristina Marsillach, Urbano Barberini, Daria Nicolodi, Ian Charleson;;;;;;1987
Twitch of the Death Nerve;Mario Bava;Claudine Auger, Luigi Pistilli, Claudio Volonte, Anna Maria Rosati;;;;;;1971
12 Angry Men;Sidney Lumet;Henry Fonda, Lee J. Cobb, Ed Begley, E.G. Marshall;Drama;90;960;96;7639420;1957
76 Days;Hao Wu;;;;;;;2020
Afghan Star;Havana Marking;;;;;;;2009
The Age of Shadows;Kim Jee-woon;Song Kang-ho, Gong Yoo, Han Ji-min, Uhm Tae-goo;;;;;;2016
All In: The Fight for Democracy;Lisa Cortes;Stacey Abrams;;;;;;2020
Anatomy of a Murder;Otto Preminger;James Stewart, Lee Remick, Ben Gazzara, Arthur O'Connell;Drama;80;950;161;655080;1959
Azor;Andreas Fontana;Fabrizio Rongione, Stéphanie Cléau, Elli Medeiros, Alexandre Trocki;Thriller;66;880;100;20620;2021
Balthazar;Robert Bresson;Anne Wiazemsky, François Lafarge, Philippe Asselin, Nathalie Joyaut;Thriller;75;;52;14020;1966
Battleship Potemkin;S. M. Eisenstein;Aleksandr Antonov, Vladimir Barskiy, Grigoriy Aleksandrov, Mikhail Gomorov;Thriller;80;970;66;570630;1925
Before Sunrise;Richard Linklater;Ethan Hawke, Julie Delpy, Erni Mangold, Hanno Poeschl;Drama;81;770;101;2986190;1995
Bright Lights: Starring Carrie Fisher and Debbie Reynolds;Alexis Bloom;Carrie Fisher, Debbie Reynolds;;;;;;2016
California Typewriter;Doug Nichol;Tom Hanks, John Mayer, David McCullough, Sam Shepard;;;;;;2016
Chained for Life;Aaron Schimberg;Jess Weixler, Adam Pearson, Stephen Plunkett, Charlie Korsmo;;;;;;2018
Coded Bias;Shalini Kantayya;;;;;;;2020
Cool Hand Luke;Stuart Rosenberg;Paul Newman, George Kennedy, J.D. Cannon, Lou Antonio;Drama;81;920;127;1745270;1967
Coup 53;Taghi Amirani;Walter Murch;;;;;;2019
Dawson City: Frozen Time;Bill Morrison;Michael Gates, Kathy Jones-Gates;;;;;;2016
The Decline of Western Civilization;Penelope Spheeris;Alice Bag, Claude Bessey, Don Bolles, Exene Cervenka;;;;;;1981
Deliver Us From Evil;Amy Berg;Nancy Sloan, Roger Mahony, John Manly;;;;;;2006
Everyday Sunshine: The Story of Fishbone;Lev Anderson;Norwood Fisher, Angelo Moore, Chris Dowd, Walter A. Kibby;;;;;;2010
Fireworks Wednesday;Asghar Farhadi;Taraneh Alidoosti, Hedye Tehrani, Hamid Farokhnezhad, Pantea Bahram;;;;;;2006
Gett: The Trial of Viviane Amsalem;Ronit Elkabetz;Ronit Elkabetz, Menashe Noy, Simon Abkarian, Gabi Amrani;;;;;;2014
The Gold Rush;Charles Chaplin;Charles Chaplin, Mack Swain, Tom Murray, Georgia Hale;Adventure;82;;95;1097350;1925
The Grapes of Wrath;John Ford;Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin;Drama;81;960;129;916420;1940
Grave of the Fireflies;Isao Takahata;J. Robert Spencer, Rhoda Chrosite, Amy Jones, Veronica Taylor;Drama;85;940;89;2667840;1988
Hannah Gadsby: Nanette;Madeleine Parry;Hannah Gadsby;;;;;;2018
Henry V;Kenneth Branagh;Kenneth Branagh, Derek Jacobi, Brian Blessed, Ian Holm;Drama;70;;137;64170;1989
Honeyland;Ljubo Stefanov;;;;;;;2019
Hive;Blerta Basholli;Yllka Gashi, Çun Lajçi, Aurita Agushi, Kumrije Hoxha;;;;;;2021
Ilo Ilo;Anthony Chen;Koh Jia Ler, Angela Bayani, Yann Yann Yeo, Chen Tian Wen;;;;;;2013
The Kid;Charlie Chaplin;Charlie Chaplin, Jack Coogan, Edna Purviance, Carl Miller;Comedy;83;;68;1245210;1921
Kind Hearts and Coronets;Robert Hamer;Alec Guinness, Dennis Price, Valerie Hobson, Joan Greenwood;;;;;;1949
Last Train Home;Lixin Fan;;;;;;;2009
Laura;Otto Preminger;Gene Tierney, Dana Andrews, Clifton Webb, Vincent Price;Drama;79;;88;468390;1944
Leave No Trace;Debra Granik;Ben Foster, Thomasin McKenzie, Jeff Kober, Dale Dickey;Drama;71;880;109;578800;2018
M;Fritz Lang;Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke;Thriller;83;;99;1552530;1931
Maedchen in Uniform;Leontine Sagan;Hertha Thiele, Dorothea Wieck, Emilia Unda;;;;;;1931
The Maltese Falcon;John Huston;Humphrey Bogart, Mary Astor, Peter Lorre, Gladys George;;;;;;1941
Man on Wire;James Marsh;Annie Allix, Jean François Heckel;;;;;;2008
Mayor;David Osit;Musa Hadid;;;;;;2020
Mickey and the Bear;Annabelle Attanasio;Camila Morrone, James Badge Dale, Calvin Demba, Ben Rosenfield;;;;;;2019
Midnight Traveler;Hassan Fazili;Hassan Fazili, Nargis Fazili, Zahra Fazili, Fatima Hossaini;;;;;;2019
Minding the Gap;Bing Liu;Bing Liu;;;;;;2018
More Than Honey;Markus Imhoof;John Hurt;;;;;;2012
Mucho Mucho Amor: The Legend of Walter Mercado;Cristina Constantini;Walter Mercado;;;;;;2020
My Journey Through French Cinema;Bertrand Tavernier;Bertrand Tavernier, Thierry Frémaux, André Marcon, Jacques Becker;;;;;;2016
Mystify: Michael Hutchence;Richard Lowenstein;Kylie Minogue, Helena Christensen, Bono, Lesley Lewis;;;;;;2019
Nights of Cabiria;Federico Fellini;Giulietta Masina, François Perier, Amedeo Nazzari, Franca Marzi;;;;;;1957
Nostalgia for the Light;Patricio Guzmán;Valentina Rodríguez;;;;;;2010
O.J.: Made in America;Ezra Edelman;O.J. Simpson;;;;;;2016
One Cut of the Dead;Shinichiro Ueda;Takayuki Hamatsu, Yuzuki Akiyama, Harumi Shuhama, Kazuaki Nagaya;Comedy;76;860;96;231370;2017
Only Yesterday;Isao Takahata;Daisy Ridley, Dev Patel, Ashley Eckstein, Alison Fernandez;;;;;;1991
Open City;Roberto Rossellini;Aldo Fabrizi, Anna Magnani, Marcello Pagliero, Maria Michi;;;;;;1945
Paper Spiders;Inon Shampanier;Lili Taylor, Stefania LaVie Owen, Peyton List, Ian Nelson;;;;;;2021
Poetry;Lee Chang-dong;Yoon Jung-hee, Lee David, Kim Hee-ra, Ahn Nae-sang;;;;;;2010
Rebecca;Alfred Hitchcock;Laurence Olivier, Joan Fontaine, Judith Anderson, George Sanders;Drama;60;460;123;406860;1940
Rewind;Sasha Joseph Neulinger;Sasha Joseph Neulinger;;;;;;2019
Sabaya;Hogir Hirori;;;;;;;2021
Searching for Bobby Fischer;Steven Zaillian;Joe Mantegna, Max Pomeranc, Joan Allen, Ben Kingsley;Drama;74;890;109;399940;1993
A Secret Love;Chris Bolan;Pat Henschel;;;;;;2020
Seven Samurai;Akira Kurosawa;Toshirô Mifune, Takashi Shimura, Yoshio Inaba, Seiji Miyaguchi;Drama;86;980;207;3390090;1954
Seymour: An Introduction;Ethan Hawke;Seymour Bernstein, Ethan Hawke;;;;;;2014
Shadow of a Doubt;Alfred Hitchcock;Teresa Wright, Joseph Cotten, Hume Cronyn, Macdonald Carey;Thriller;78;940;108;646270;1943
Sholem Aleichem: Laughing in the Darkness;Joseph Dorman;Alan Rosenberg, Rachel Dratch;;;;;;2011
Singin' in the Rain;Stanley Donen;Gene Kelly, Debbie Reynolds, Donald O'Connor, Jean Hagen;Comedy;83;990;103;2371390;1952
Slalom;Charlène Favier;Noée Abita, Jérémie Renier, Marie Denarnaud, Muriel Combeau;;;;;;2020
Slay the Dragon;Chris Durrance;;;;;;;2019
Sound City;David Grohl;Frank Black, Lindsey Buckingham, Tim Commerford, Kevin Cronin;;;;;;2013
Stalker;Andrei Tarkovsky;Aleksandr Kajdanovsky, Nikolay Grinko, Anatoliy Solonitsyn, Alisa Freindlich;Drama;81;;162;1314480;1979
Still Walking;Hirokazu Koreeda;Hiroshi Abe, You, Yoshio Harada, Ryôga Hayashi;;;;;;2008
Stop Making Sense;Jonathan Demme;Bernie Worrell, Alex Weir, Steve Scales, Lynn Mabry;;;;;;1984
Sugar Cane Alley;Euzhan Palcy;Garry Cadenat, Darling Legitimus, Douta Seck;;;;;;1983
Summer 1993;Carla Simón;Laia Artigas, Paula Robles, Bruna Cusí, David Verdaguer;;;;;;2017
Tampopo;Juzo Itami;Tsutomu Yamazaki, Nobuko Miyamoto, Ken Watanabe, Koji Yakusho;Comedy;79;870;114;185570;1985
Taxi to the Dark Side;Alex Gibney;Alex Gibney, Brian Keith Allen, Jack Cloonan, Greg D'Agostino;;;;;;2007
The Tale of the Princess Kaguya;Isao Takahata;Chloë Grace Moretz, James Caan, Mary Steenburgen, Darren Criss;;;;;;2013
A Thousand Cuts;Ramona S. Diaz;Maria Ressa;;;;;;2020
Three Colors: Red;Krzysztof Kieslowski;Irène Jacob, Jean-Louis Trintignant, Frédérique Feder, Jean-Pierre Lorit;Drama;81;1000;99;1015190;1994
Tokyo Story;Yasujirô Ozu;Chishu Ryu, Chieko Higashiyama, Setsuko Hara, Haruko Sugimura;;;;;;1953
Top Hat;Mark Sandrich;Fred Astaire, Ginger Rogers, Edward Everett Horton, Helen Broderick;Comedy;77;920;101;190360;1935
The Wages of Fear;Henri-Georges Clouzot;Yves Montand, Charles Vanel, Peter Van Eyck, Vera Clouzot;Adventure;82;850;131;600700;1953
Waste Land;Lucy Walker;Vik Muniz;;;;;;2010
We Were Here;David Weissman;Paul Boneberg, Ed Wolf, Daniel Goldstein, Guy Clark;;;;;;2011
Welcome to Chechnya;David France;;;;;;;2020
White Riot;Rubika Shah;Pauline Black, Topper Headon, Mick Jones, Dennis Bovell;;;;;;2019
The Woman Who Ran;Hong Sang-soo;Kim Min-hee, Seo Young-hwa, Sae-Byuk Kim, Kwon Hae-hyo;;;;;;2020
Woodlands Dark and Days Bewitched: A History of Folk Horror;Kier-La Janisse;Piers Haggard, Lawrence Gordon Clark, Jeremy Dyson, Alice Lowe;;;;;;2021
The Work;Jairus McLeary;;;;;;;2017
