Title;Director;Cast;Genre;IMDB_Rating;Metascore;Runtime;Votes;Year
Public Enemies;Michael Mann;Johnny Depp, Christian Bale, Marion Cotillard, Billy Crudup;Drama;70;700;140;2976800;2009
The Man From U.N.C.L.E.;Guy Ritchie;Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki;;;;;;2015
Ocean's Thirteen;Steven Soderbergh;George Clooney, Brad Pitt, Matt Damon, Andy Garcia;Thriller;69;620;122;3409250;2007
Ocean's 8;Gary Ross;Sandra Bullock, Cate Blanchett, Anne Hathaway, Helena Bonham Carter;;;;;;2018
Set It Off;F. Gary Gray;Jada Pinkett, Queen Latifah, Vivica A. Fox, Blair Underwood;Thriller;68;;123;161720;1996
The Thomas Crown Affair;John McTiernan;Pierce Brosnan, Rene Russo, Denis Leary, Ben Gazzara;Drama;69;660;102;248120;1999
Triple Frontier;J.C. Chandor;Ben Affleck, Oscar Isaac, Charlie Hunnam, Garrett Hedlund;Thriller;64;610;125;1245660;2019
Mission: Impossible III;J.J. Abrams;Tom Cruise, Philip Seymour Hoffman, Ving Rhames, Billy Crudup;Thriller;69;660;126;3494610;2006
The Driver;Walter Hill;Ryan O'Neal, Bruce Dern, Isabelle Adjani, Ronee Blakley;Sci-Fi;36;;97;8790;1978
The Score;Frank Oz;Robert De Niro, Edward Norton, Angela Bassett, Marlon Brando;Drama;68;710;124;1270950;2001
The Italian Job;F. Gary Gray;Mark Wahlberg, Charlize Theron, Edward Norton, Seth Green;Comedy;72;700;99;457780;2003
The Great Train Robbery;Michael Crichton;Sean Connery, Donald Sutherland, Lesley-Anne Down, Alan Webb;Thriller;69;680;110;177640;1978
Snatch;Guy Ritchie;Benicio Del Toro, Dennis Farina, Brad Pitt, Vinnie Jones;Comedy;83;550;102;8366910;2000
Dragged Across Concrete;S. Craig Zahler;Mel Gibson, Vince Vaughn, Tory Kittles, Michael Jai White;Drama;69;600;159;450500;2018
The Good Thief;Neil Jordan;Nick Nolte, Tcheky Karyo, Said Taghmaoui, Gérard Darmon;;;;;;2002
Kelly's Heroes;Brian G. Hutton;Clint Eastwood, Telly Savalas, Don Rickles, Donald Sutherland;Comedy;76;500;144;490260;1970
Sneakers;Phil Alden Robinson;Robert Redford, Dan Aykroyd, Ben Kingsley, Mary McDonnell;Comedy;71;650;126;583860;1992
The Bank Job;Roger Donaldson;Jason Statham, Saffron Burrows, Richard Lintern, Stephen Campbell Moore;Drama;72;690;111;1802990;2008
Ocean's Eleven;Steven Soderbergh;George Clooney, Matt Damon, Andy Garcia, Brad Pitt;Comedy;65;570;127;230200;2001
Ant-Man;Peyton Reed;Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll;Sci-Fi;73;640;117;6417780;2015
Rogue One: A Star Wars Story;Gareth Edwards;Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen;Sci-Fi;78;650;133;6059630;2016
Bottle Rocket;Wes Anderson;Owen C. Wilson, Luke Wilson, Robert Musgrave, Andrew Wilson;Comedy;69;660;91;759460;1996
The Getaway;Sam Peckinpah;Steve McQueen, Ali MacGraw, Ben Johnson, Sally Struthers;Thriller;74;550;123;319250;1972
Inside Man;Spike Lee;Denzel Washington, Clive Owen, Jodie Foster, Willem Dafoe;Drama;76;760;129;3662400;2006
Thunderbolt and Lightfoot;Michael Cimino;Clint Eastwood, Jeff Bridges, George Kennedy, Geoffrey Lewis;Comedy;70;620;115;250720;1974
Jackie Brown;Quentin Tarantino;Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda;Drama;75;640;154;3417830;1997
Sexy Beast;Jonathan Glazer;Ray Winstone, Ben Kingsley, Ian McShane, Amanda Redman;Drama;73;790;89;604460;2000
The Lookout;Scott Frank;Joseph Gordon-Levitt, Jeff Daniels, Carla Gugino, Matthew Goode;Drama;70;730;99;586350;2007
Bonnie and Clyde;Arthur Penn;Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman;Drama;77;860;111;1113280;1967
The Usual Suspects;Bryan Singer;Stephen Baldwin, Gabriel Byrne, Chazz Palminteri, Kevin Pollak;Drama;85;770;106;10605810;1995
American Animals;Bart Layton;Barry Keoghan, Evan Peters, Jared Abrahamson, Blake Jenner;Drama;70;680;116;440040;2018
The Pink Panther;Blake Edwards;Peter Sellers, David Niven, Robert Wagner, Capucine;Comedy;71;550;115;518890;1963
Butch Cassidy and the Sundance Kid;George Roy Hill;Paul Newman, Robert Redford, Katharine Ross, Strother Martin;Drama;80;660;110;2132300;1969
The Spanish Prisoner;David Mamet;Campbell Scott, Rebecca Pidgeon, Steve Martin, Ricky Jay;;;;;;1998
Topkapi;Jules Dassin;Melina Mercouri, Peter Ustinov, Maximilian Schell, Robert Morley;Adventure;70;;120;96720;1964
The Wild Bunch;Sam Peckinpah;William Holden, Ernest Borgnine, Robert Ryan, Edmond O'Brien;Adventure;79;970;135;836800;1969
Kajillionaire;Miranda July;Evan Rachel Wood, Gina Rodriguez, Richard Jenkins, Debra Winger;Comedy;64;780;104;172910;2020
Take the Money and Run;Woody Allen;Woody Allen, Janet Margolin, Marcel Hillaire, Jacquelyn Hyde;;;;;;1969
Widows;Steve McQueen;Viola Davis, Colin Farrell, Michelle Rodriguez, Elizabeth Debicki;Drama;69;840;129;959460;2018
A Fistful of Dynamite;Sergio Leone;Rod Steiger, James Coburn, Romolo Valli, Maria Monti;;;;;;1971
Rififi;Jules Dassin;Jean Servais, Carl Mohner, Robert Manuel, Magali Noël;Thriller;81;970;118;339200;1955
Reservoir Dogs;Quentin Tarantino;Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn;Drama;83;790;99;9904200;1992
Nine Queens;Fabián Bielinsky;Ricardo Darín, Gastón Pauls, Graciela Tenenbaum, Leticia Brédice;Thriller;79;800;114;524630;2001
No Sudden Move;Steven Soderbergh;Don Cheadle, Benicio Del Toro, David Harbour, Jon Hamm;Drama;64;760;115;320000;2021
The Town;Ben Affleck;Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner;Drama;75;740;125;3824570;2010
Logan Lucky;Steven Soderbergh;Channing Tatum, Adam Driver, Farrah Mackenzie, Riley Keough;Comedy;70;780;118;1467860;2017
Out of Sight;Steven Soderbergh;George Clooney, Jennifer Lopez, Ving Rhames, Don Cheadle;Comedy;70;850;123;916350;1998
Thief;Michael Mann;James Caan, Tuesday Weld, Willie Nelson, James Belushi;Drama;74;780;123;305080;1981
Band of Outsiders;Jean-Luc Godard;Anna Karina, Sami Frey, Claude Brasseur, Jean-Luc Godard;;;;;;1964
To Catch a Thief;Alfred Hitchcock;Cary Grant, Grace Kelly, Jessie Royce Landis, John Williams;Thriller;74;820;106;718590;1955
The Sting;George Roy Hill;Paul Newman, Robert Redford, Robert Shaw, Charles Durning;Comedy;83;830;129;2575490;1973
Three Kings;David O. Russell;George Clooney, Mark Wahlberg, Ice Cube, Spike Jonze;Comedy;71;820;114;1696700;1999
The Killing;Stanley Kubrick;Sterling Hayden, Coleen Gray, Vince Edwards, Jay C. Flippen;Drama;83;;45;1089960;1956
The Red Circle;Jean-Pierre Melville;Yves Montand, Alain Delon, Bourvil, Gian Maria Volonte;;;;;;1970
Dog Day Afternoon;Sidney Lumet;Al Pacino, John Cazale, Charles Durning, Chris Sarandon;Drama;80;860;125;2525040;1975
Hell or High Water;David Mackenzie;Jeff Bridges, Chris Pine, Ben Foster, Gil Birmingham;Drama;76;880;102;2252760;2016
Bob the Gambler;Jean-Pierre Melville;Roger Duchesne, Isabelle Corey, Daniel Cauchy, Howard Vernon;;;;;;1955
The Asphalt Jungle;John Huston;Sterling Hayden, Sam Jaffe, Marilyn Monroe, Louis Calhern;Drama;78;850;112;266390;1950
The Friends of Eddie Coyle;Peter Yates;Robert Mitchum, Peter Boyle, Richard Jordan, Steven Keats;;;;;;1973
The Lavender Hill Mob;Charles Crichton;Alec Guinness, Stanley Holloway, Sidney James, Alfie Bass;;;;;;1951
The Taking of Pelham One Two Three;Joseph Sargent;Walter Matthau, Robert Shaw, Martin Balsam, Héctor Elizondo;Thriller;76;680;104;302260;1974
Blue Crush;John Stockwell;Kate Bosworth, Matthew Davis, Michelle Rodriguez, Sanoe Lake;Drama;57;610;104;313050;2002
The Greatest Game Ever Played;Bill Paxton;Shia LaBeouf, Stephen Dillane, Josh Flitter, Peyton List;;;;;;2005
The Express;Gary Fleder;Dennis Quaid, Rob Brown, Clancy Brown, Omar Benson Miller;;;;;;2008
Rocky III;Sylvester Stallone;Sylvester Stallone, Mr. T, Talia Shire, Carl Weathers;Drama;68;570;99;1872060;1982
